AT CMO ; Assistência Técnica - Municipio de Ourém;03;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;04;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;05;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;06;240102;;00000007;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;01;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;02;240102;;00000008;7421321;;;;2682202;AT;Assistência Técnica QREN;;235.99;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;03;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;04;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;05;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;06;240102;;00000008;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;01;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;02;240102;;00000009;7421321;;;;2682202;AT;Assistência Técnica QREN;;623.70;;
AT CMT ; Assistência Técnica - Municipio de Tomar;03;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;04;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;05;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;06;240102;;00000009;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;01;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;02;240102;;00000010;7421321;;;;2682202;AT;Assistência Técnica QREN;;575.71;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;03;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;04;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;05;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;06;240102;;00000010;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;01;240102;;00000011;;;;;;;;;0.00;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;02;240102;;00000011;7421321;;;;2682202;AT;Assistência Técnica QREN;;213.01;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;03;240102;;00000011;;;;;;;;;0.00;;
